n_success,n_attempts,target_swaps,elapsed_s,hit_time_budget,fraction_of_target,subject_id
121481,7800000,273485,182.01725506782532,True,0.4441962082015467,100610
147457,7600000,249600,181.0011203289032,True,0.5907732371794872,102311
134097,8000000,263490,183.5613329410553,True,0.5089263349652738,103818
139469,7600000,257585,181.2548327445984,True,0.5414484539084186,104416
138233,7800000,255740,183.21540570259094,True,0.5405216235238914,105115
166504,8000000,238865,182.99393105506897,True,0.6970631946915622,106016
116119,7800000,278060,182.84769105911255,True,0.4176041142199525,107018
129228,8000000,267835,180.4020392894745,True,0.4824910859297702,107422
148162,8000000,240190,183.3406364917755,True,0.6168533244514759,108323
132123,8000000,263855,180.85403966903687,True,0.5007409372572057,109123
128312,8200000,266035,184.4796130657196,True,0.4823124776815081,111312
158916,7600000,243785,180.5491590499878,True,0.6518694751522858,111413
133430,8200000,254785,183.29052639007568,True,0.5236964499479954,111514
152440,7800000,243615,181.47735404968262,True,0.6257414362826591,113922
108461,7600000,283890,180.996826171875,True,0.38205290781640777,115017
111421,7800000,281090,183.37491917610168,True,0.396389056885695,115320
144548,8200000,258385,181.92223501205444,True,0.5594287594094084,116726
139371,7600000,260380,181.03427457809448,True,0.5352600046086489,117021
108533,7400000,281095,182.44331073760986,True,0.38610789946459384,118023
106356,7600000,289540,181.19249939918518,True,0.36732748497616907,118225
136595,8000000,257340,184.11103463172913,True,0.5307958343048108,118831
149191,7800000,249115,184.0483376979828,True,0.5988840495353551,120111
149674,8400000,255935,180.81436467170715,True,0.5848125500615391,122822
142993,7600000,263225,181.65517020225525,True,0.5432348751068478,124422
135929,7800000,261045,183.78833746910095,True,0.5207109885268824,124826
113453,7800000,283410,182.70310974121094,True,0.4003140326735119,126325
114048,8200000,279460,180.52296710014343,True,0.4081013382952838,126426
131674,8000000,269940,180.97555875778198,True,0.487789879232422,127731
113759,7800000,280940,183.89541697502136,True,0.4049227593080373,127832
141928,7800000,256520,181.8397731781006,True,0.5532823951348823,128935
131819,7800000,263115,183.03344416618347,True,0.5009938619995059,129028
118440,8200000,275930,181.5176122188568,True,0.4292392998224187,130518
166038,7800000,239540,180.59410858154297,True,0.6931535442932287,130619
127605,7800000,266820,181.97910904884338,True,0.4782437598380931,131217
144855,8400000,260710,183.80827379226685,True,0.5556173526140156,131722
137048,8000000,261285,183.40718817710876,True,0.5245153759304974,131823
136774,7800000,258950,184.07564091682434,True,0.5281869086696274,133019
135708,7600000,261085,181.49849796295166,True,0.51978474443189,133625
171287,7800000,237260,182.69292879104614,True,0.7219379583579196,134728
118919,7600000,272825,180.74279737472534,True,0.4358801429487767,134829
119281,8000000,274555,182.7709195613861,True,0.43445211341989765,135124
118812,7800000,276570,183.24720430374146,True,0.4295910619373034,137128
114597,8200000,278250,181.30571508407593,True,0.4118490566037736,137431
153952,8000000,249070,183.5385971069336,True,0.618107359376882,139435
115214,7400000,274825,180.14405465126038,True,0.4192267806786137,139637
144214,7800000,251480,183.11405992507935,True,0.5734611102274535,139839
141170,7800000,251880,182.99747586250305,True,0.5604653009369541,140117
163617,7800000,243250,183.6716742515564,True,0.6726289825282631,141422
