n_success,n_attempts,target_swaps,max_attempts,max_attempts_multiplier,elapsed_s,hit_time_budget,fraction_of_target,subject_id
227973,107000000,273485,136742500,500,2400.232647895813,True,0.8335850229445856,100610
249600,57591493,249600,124800000,500,1305.4895679950714,False,1.0,102311
262166,109600000,263490,131745000,500,2402.3829383850098,True,0.994975141371589,103818
257585,80521052,257585,128792500,500,1726.3861000537872,False,1.0,104416
255740,81968746,255740,127870000,500,1850.6000514030457,False,1.0,105115
238865,26436781,238865,119432500,500,597.2588675022125,False,1.0,106016
219189,106800000,278060,139030000,500,2400.167645931244,True,0.7882795080198518,107018
248222,107600000,267835,133917500,500,2403.5700414180756,True,0.9267720798252655,107422
240190,49283522,240190,120095000,500,1053.4646639823914,False,1.0,108323
244641,107400000,263855,131927500,500,2404.3959577083588,True,0.9271797009721249,109123
239856,106400000,266035,133017500,500,2400.6115202903748,True,0.9015956547070875,111312
243785,31080682,243785,121892500,500,710.7717418670654,False,1.0,111413
248428,104800000,254785,127392500,500,2401.0462613105774,True,0.975049551582707,111514
243615,46784340,243615,121807500,500,1034.5730290412903,False,1.0,113922
205021,108600000,283890,141945000,500,2400.2195720672607,True,0.7221846489837613,115017
215297,106400000,281090,140545000,500,2401.0224833488464,True,0.765936177025152,115320
258385,86079769,258385,129192500,500,1939.5180604457855,False,1.0,116726
260380,86022256,260380,130190000,500,1945.0736899375916,False,1.0,117021
210534,110200000,281095,140547500,500,2402.641338825226,True,0.7489781034881445,118023
198805,104800000,289540,144770000,500,2403.96884059906,True,0.6866236098639221,118225
257340,94391531,257340,128670000,500,2027.0682032108307,False,1.0,118831
249115,53901502,249115,124557500,500,1218.9063911437988,False,1.0,120111
255935,71422807,255935,127967500,500,1619.6922204494476,False,1.0,122822
263225,89361405,263225,131612500,500,2029.352075099945,False,1.0,124422
259418,110000000,261045,130522500,500,2400.403933763504,True,0.9937673581183321,124826
220077,108400000,283410,141705000,500,2402.8510189056396,True,0.7765322324547476,126325
213554,106800000,279460,139730000,500,2400.214086294174,True,0.7641666070278395,126426
243729,108000000,269940,134970000,500,2403.3087949752808,True,0.9029006445876862,127731
214467,108400000,280940,140470000,500,2403.5767748355865,True,0.7633907595927956,127832
256520,70876176,256520,128260000,500,1601.698210477829,False,1.0,128935
248264,106400000,263115,131557500,500,2402.753920316696,True,0.943556999790966,129028
222972,107600000,275930,137965000,500,2403.124532699585,True,0.8080745116515058,130518
239540,27153697,239540,119770000,500,615.4777693748474,False,1.0,130619
244415,109200000,266820,133410000,500,2403.755655527115,True,0.9160295330185143,131217
260710,85788500,260710,130355000,500,1938.8529212474823,False,1.0,131722
254381,108800000,261285,130642500,500,2404.350955247879,True,0.9735767456991408,131823
258950,88244573,258950,129475000,500,2040.984740972519,False,1.0,133019
261085,96637370,261085,130542500,500,2110.1892471313477,False,1.0,133625
237260,22743858,237260,118630000,500,515.6971909999847,False,1.0,134728
227280,109400000,272825,136412500,500,2403.1856741905212,True,0.8330614863007423,134829
228106,107800000,274555,137277500,500,2403.008085489273,True,0.8308207827211306,135124
237519,107400000,276570,138285000,500,2403.543073415756,True,0.8588024731532704,137128
214676,109000000,278250,139125000,500,2404.0678079128265,True,0.7715220125786163,137431
249070,44750590,249070,124535000,500,895.9391534328461,False,1.0,139435
224214,105600000,274825,137412500,500,2400.9184420108795,True,0.8158428090603111,139637
251480,62859307,251480,125740000,500,1414.647290468216,False,1.0,139839
251880,75886744,251880,125940000,500,1725.992927789688,False,1.0,140117
243250,30319576,243250,121625000,500,687.3175623416901,False,1.0,141422
244326,106400000,267015,133507500,500,2402.307660341263,True,0.9150272456603562,143325
226638,107000000,269140,134570000,500,2401.747302055359,True,0.842082187708999,144226
245355,52141829,245355,122677500,500,1179.9491720199585,False,1.0,144731
246180,37949907,246180,123090000,500,860.0717871189117,False,1.0,144933
258290,100090480,258290,129145000,500,2258.462636947632,False,1.0,145632
253205,57601238,253205,126602500,500,1244.9472830295563,False,1.0,145834
192930,107000000,289180,144590000,500,2401.696112394333,True,0.6671623210457155,146735
218365,11362461,218365,109182500,500,262.32802748680115,False,1.0,148436
232721,107400000,271415,135707500,500,2401.122437953949,True,0.8574360296962217,148941
254765,112000000,263960,131980000,500,2402.3311223983765,True,0.9651651765419003,149741
246965,50479621,246965,123482500,500,1097.9068410396576,False,1.0,151425
241980,107200000,268770,134385000,500,2403.4039402008057,True,0.9003236968411653,151526
235180,107600000,266800,133400000,500,2402.8776926994324,True,0.8814842578710644,151930
234040,20830508,234040,117020000,500,473.423214673996,False,1.0,153934
197882,106600000,282035,141017500,500,2403.98784327507,True,0.7016221390962115,154431
224447,111800000,276125,138062500,500,2400.837282180786,True,0.8128456315074695,157336
222505,10818527,222505,111252500,500,247.05700659751892,False,1.0,159138
212079,110200000,276035,138017500,500,2404.3154394626617,True,0.7683047439636278,159239
245215,38429979,245215,122607500,500,876.4602255821228,False,1.0,161327
245542,108600000,265650,132825000,500,2401.774385690689,True,0.9243064182194617,162026
258185,81371807,258185,129092500,500,1839.6015050411224,False,1.0,162935
221809,106000000,272050,136025000,500,2401.2193994522095,True,0.8153243888990994,163129
259795,83440658,259795,129897500,500,1854.4754557609558,False,1.0,164131
238710,21033275,238710,119355000,500,482.02785062789917,False,1.0,164636
241030,26626220,241030,120515000,500,562.6648252010345,False,1.0,165638
246000,47272136,246000,123000000,500,1073.60271692276,False,1.0,166438
227336,106800000,271520,135760000,500,2401.378842830658,True,0.8372716558632881,168341
238274,108000000,268780,134390000,500,2400.783217906952,True,0.8865019718729072,168947
247105,47551062,247105,123552500,500,1059.5716257095337,False,1.0,169343
251060,60400146,251060,125530000,500,1364.2752408981323,False,1.0,171330
221507,112600000,278855,139427500,500,2400.893448829651,True,0.7943447311326676,171633
236695,23888135,236695,118347500,500,509.8637344837189,False,1.0,172029
249084,106600000,267195,133597500,500,2402.621720314026,True,0.9322180430023017,172130
205371,107000000,281105,140552500,500,2400.386780977249,True,0.730584656978709,172332
218763,107600000,274715,137357500,500,2404.4566140174866,True,0.7963271026336385,172938
237705,23733409,237705,118852500,500,477.84085988998413,False,1.0,173334
219601,111000000,277035,138517500,500,2403.3813087940216,True,0.7926832349703106,174841
218838,108800000,280580,140290000,500,2403.203216075897,True,0.7799486777389693,175237
205169,107200000,284635,142317500,500,2400.2712972164154,True,0.7208143763064978,175439
242995,38485110,242995,121497500,500,876.6883838176727,False,1.0,175540
240618,109200000,268650,134325000,500,2402.503570318222,True,0.8956560580681183,176542
219405,8807185,219405,109702500,500,201.64259815216064,False,1.0,177140
252565,55996651,252565,126282500,500,1268.7524342536926,False,1.0,177645
236107,111200000,274295,137147500,500,2400.852625846863,True,0.860777629923987,178647
224805,108600000,271095,135547500,500,2401.611137866974,True,0.8292480495767166,181232
228739,113200000,273420,136710000,500,2402.3411149978638,True,0.8365847414234511,182436
215611,109600000,283315,141657500,500,2402.599779367447,True,0.7610292430686691,182840
256895,69550785,256895,128447500,500,1539.4181544780731,False,1.0,185139
250285,57891272,250285,125142500,500,1299.2763314247131,False,1.0,185947
222221,107400000,276970,138485000,500,2400.8692383766174,True,0.8023287720691772,186848
257760,74017708,257760,128880000,500,1631.1225135326385,False,1.0,187345
241702,113400000,270730,135365000,500,2402.7961847782135,True,0.8927787832896243,187547
256290,103033693,256290,128145000,500,2201.048994779587,False,1.0,189349
219393,107200000,273715,136857500,500,2402.342319250107,True,0.8015380961949473,191437
207695,113200000,282995,141497500,500,2401.791590452194,True,0.7339175603809255,191841
263835,102887006,263835,131917500,500,2283.562235593796,False,1.0,192641
246552,111200000,266425,133212500,500,2403.03853392601,True,0.9254086515905039,193845
213423,108200000,279495,139747500,500,2403.9507932662964,True,0.7636022111307894,194140
253450,61739382,253450,126725000,500,1365.1287591457367,False,1.0,194443
222552,108000000,273045,136522500,500,2400.711236476898,True,0.8150744382794045,195041
238445,23813477,238445,119222500,500,543.256753206253,False,1.0,195445
254355,70525721,254355,127177500,500,1577.5192744731903,False,1.0,196750
195085,108200000,288235,144117500,500,2403.3604996204376,True,0.6768262008430621,197348
259960,104567990,259960,129980000,500,2354.0179255008698,False,1.0,198047
253144,109800000,263785,131892500,500,2400.4513552188873,True,0.9596603294349565,198249
243782,112200000,265435,132717500,500,2401.1040391921997,True,0.9184244730348297,198653
261155,91191289,261155,130577500,500,2054.3308720588684,False,1.0,200008
259855,69095746,259855,129927500,500,1437.4845094680786,False,1.0,200109
255080,64847743,255080,127540000,500,1468.8679926395416,False,1.0,200311
222116,110000000,279100,139550000,500,2400.968467950821,True,0.7958294518093874,203418
221992,112200000,279165,139582500,500,2403.2463874816895,True,0.7951999713431125,204521
203797,106600000,291225,145612500,500,2401.7453689575195,True,0.6997922568460813,205119
209102,113200000,286050,143025000,500,2403.021379709244,True,0.7309980772592204,205220
247148,106200000,266795,133397500,500,2400.5379061698914,True,0.9263591896399858,205826
257524,108600000,262260,131130000,500,2400.271533727646,True,0.9819415846869519,207426
255910,73232473,255910,127955000,500,1649.5419137477875,False,1.0,212419
230567,113400000,277535,138767500,500,2400.096035003662,True,0.8307672906119948,212823
