n_success,n_attempts,target_swaps,elapsed_s,hit_time_budget,fraction_of_target,subject_id
73855,179025,73855,5.465094566345215,False,1.0,sub-002S0413
73505,171058,73505,4.792487144470215,False,1.0,sub-002S4229
77375,201657,77375,6.166269302368164,False,1.0,sub-002S4654
86610,265922,86610,6.766602277755737,False,1.0,sub-003S1122
77785,201951,77785,5.148587942123413,False,1.0,sub-006S0498
85600,235262,85600,5.882976770401001,False,1.0,sub-006S0731
80630,222744,80630,6.507785081863403,False,1.0,sub-011S4893
94410,302318,94410,6.519698143005371,False,1.0,sub-013S4268
87450,278524,87450,6.857925176620483,False,1.0,sub-018S2180
84830,247768,84830,7.1790101528167725,False,1.0,sub-018S4313
83990,252671,83990,7.2709479331970215,False,1.0,sub-018S4400
84240,245276,84240,6.124315500259399,False,1.0,sub-019S4293
60965,127513,60965,3.3897085189819336,False,1.0,sub-021S0337
58950,115127,58950,3.6432108879089355,False,1.0,sub-022S2263
37195,51504,37195,1.4439566135406494,False,1.0,sub-029S4290
58850,112519,58850,3.587228775024414,False,1.0,sub-032S2119
65520,138274,65520,3.773184061050415,False,1.0,sub-037S4214
77990,198366,77990,4.784921169281006,False,1.0,sub-041S0679
69400,160455,69400,4.152876615524292,False,1.0,sub-041S4200
84535,233407,84535,6.903820514678955,False,1.0,sub-041S4427
70645,166768,70645,4.503662824630737,False,1.0,sub-041S4510
78450,201409,78450,6.975819826126099,False,1.0,sub-041S5100
81145,226542,81145,6.78951358795166,False,1.0,sub-041S5253
69890,162993,69890,4.81913948059082,False,1.0,sub-053S4578
77700,210422,77700,5.809520244598389,False,1.0,sub-057S0934
72650,172803,72650,5.769928216934204,False,1.0,sub-057S5292
77570,203277,77570,6.10014796257019,False,1.0,sub-068S0127
70435,159748,70435,5.561143159866333,False,1.0,sub-068S0210
54600,99461,54600,3.1810033321380615,False,1.0,sub-068S0473
87755,274037,87755,8.102705717086792,False,1.0,sub-068S4061
66370,146763,66370,4.559869050979614,False,1.0,sub-068S4340
97515,321943,97515,8.354280471801758,False,1.0,sub-068S4424
74325,185974,74325,5.524236440658569,False,1.0,sub-070S5040
91890,305938,91890,8.869491815567017,False,1.0,sub-094S2201
75365,195156,75365,5.254552602767944,False,1.0,sub-099S4076
69385,153314,69385,4.623113632202148,False,1.0,sub-100S0069
57050,106324,57050,3.7857580184936523,False,1.0,sub-126S4507
63730,134257,63730,3.734896421432495,False,1.0,sub-126S4514
78805,219181,78805,7.5246710777282715,False,1.0,sub-127S2234
58400,112355,58400,2.9322147369384766,False,1.0,sub-127S4197
73265,181504,73265,3.6857573986053467,False,1.0,sub-128S0200
65710,143907,65710,3.6511592864990234,False,1.0,sub-128S0272
57910,116561,57910,3.5888936519622803,False,1.0,sub-128S2130
88210,286699,88210,6.0434229373931885,False,1.0,sub-129S2332
72480,185462,72480,4.04462456703186,False,1.0,sub-129S4396
83145,234394,83145,5.78070068359375,False,1.0,sub-130S4415
67785,157925,67785,4.819153785705566,False,1.0,sub-135S4489
82865,244084,82865,4.858520984649658,False,1.0,sub-135S4598
77420,196513,77420,4.1332972049713135,False,1.0,sub-141S4160
