n_success,n_attempts,target_swaps,elapsed_s,hit_time_budget,fraction_of_target,subject_id
98600,251751,98600,2.78411865234375,False,1.0,sub-002S0413
98935,247522,98935,4.46601676940918,False,1.0,sub-002S4229
104685,290811,104685,3.512003183364868,False,1.0,sub-002S4654
117970,398465,117970,5.30042576789856,False,1.0,sub-003S1122
106730,296696,106730,4.6555492877960205,False,1.0,sub-006S0498
117375,360000,117375,5.395029306411743,False,1.0,sub-006S0731
110380,329737,110380,5.387744426727295,False,1.0,sub-011S4893
129050,467227,129050,5.124885082244873,False,1.0,sub-013S4268
121615,464327,121615,6.150452613830566,False,1.0,sub-018S2180
118905,417397,118905,6.076623916625977,False,1.0,sub-018S4313
115855,395639,115855,6.423267364501953,False,1.0,sub-018S4400
117635,383283,117635,5.306566476821899,False,1.0,sub-019S4293
82875,178360,82875,4.0928003787994385,False,1.0,sub-021S0337
80055,168517,80055,3.8782191276550293,False,1.0,sub-022S2263
49265,69464,49265,1.6779894828796387,False,1.0,sub-029S4290
77995,153654,77995,2.919877767562866,False,1.0,sub-032S2119
89020,201708,89020,4.447867393493652,False,1.0,sub-037S4214
105940,297800,105940,5.046273231506348,False,1.0,sub-041S0679
96420,249926,96420,2.5041310787200928,False,1.0,sub-041S4200
114155,349852,114155,5.534387111663818,False,1.0,sub-041S4427
97670,259902,97670,4.6693198680877686,False,1.0,sub-041S4510
105955,295688,105955,3.3947203159332275,False,1.0,sub-041S5100
111855,347734,111855,4.172670125961304,False,1.0,sub-041S5253
96430,243213,96430,3.204773187637329,False,1.0,sub-053S4578
107795,327050,107795,5.937069892883301,False,1.0,sub-057S0934
98755,253544,98755,4.816681861877441,False,1.0,sub-057S5292
103610,287423,103610,4.9133946895599365,False,1.0,sub-068S0127
97290,249769,97290,5.133502244949341,False,1.0,sub-068S0210
76580,156357,76580,3.6191587448120117,False,1.0,sub-068S0473
120970,436843,120970,6.9396374225616455,False,1.0,sub-068S4061
91595,222769,91595,3.201859712600708,False,1.0,sub-068S4340
140250,605026,140250,8.8138587474823,False,1.0,sub-068S4424
102665,285648,102665,5.003005027770996,False,1.0,sub-070S5040
123990,447474,123990,6.234198331832886,False,1.0,sub-094S2201
102970,285425,102970,4.91718053817749,False,1.0,sub-099S4076
98155,243701,98155,2.6337411403656006,False,1.0,sub-100S0069
77125,149047,77125,3.4687178134918213,False,1.0,sub-126S4507
87595,203611,87595,2.6738290786743164,False,1.0,sub-126S4514
107665,328053,107665,5.742739677429199,False,1.0,sub-127S2234
80920,169492,80920,1.8858757019042969,False,1.0,sub-127S4197
103525,298739,103525,2.985582113265991,False,1.0,sub-128S0200
88120,197702,88120,2.0887062549591064,False,1.0,sub-128S0272
76895,158506,76895,1.6422858238220215,False,1.0,sub-128S2130
122990,463210,122990,4.590118408203125,False,1.0,sub-129S2332
101320,290920,101320,2.9031546115875244,False,1.0,sub-129S4396
115695,375869,115695,3.7170121669769287,False,1.0,sub-130S4415
93800,237976,93800,2.424777030944824,False,1.0,sub-135S4489
116815,401815,116815,3.9444777965545654,False,1.0,sub-135S4598
106090,296891,106090,3.3485960960388184,False,1.0,sub-141S4160
