seed,shift_ms,rel_err_naive,rel_err_ltv,rel_err_ceiling,rel_err_do_nothing,precision_note,target_distance,ceiling_n_evals,rel_err_ceiling_original_naive_warmstart,outlier_investigation_note
0,10,0.386,0.0279999999999999,0.002,0.1,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
0,20,0.391,0.2,0.001,0.1689999999999999,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
0,30,0.428,1.636,0.001,0.275,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
0,40,0.742,3.219,0.001,0.674,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
0,60,2.14,1.7380000000000002,0.001,2.438,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
1,10,0.444,0.2339999999999999,0.012,0.186,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
1,20,0.436,1.192,0.004,0.5760000000000001,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
1,30,1.128,2.132,0.0069999999999999,1.986,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
1,40,1.763,1.681,0.003,3.091,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
1,60,0.831,1.7919999999999998,0.001,0.685,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
2,10,0.2239999999999999,0.21,0.017,0.104,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
2,20,0.456,0.5920000000000001,0.005,0.3879999999999999,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
2,30,1.104,2.346,0.008,1.6469999999999998,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
2,40,1.92,1.961,0.002,3.145,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
2,60,0.999,1.81,0.001,0.875,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
3,10,0.255,0.019,0.001,0.063,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
3,20,0.2769999999999999,0.2239999999999999,0.001,0.126,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
3,30,0.357,1.134,0.002,0.258,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
3,40,0.92,2.651,0.002,0.857,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
3,60,2.546,2.589,0.001,3.576,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
4,10,0.271,0.02,0.001,0.064,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
4,20,0.288,0.23,0.002,0.125,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
4,30,0.359,1.123,0.002,0.253,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
4,40,0.894,2.6010000000000004,0.001,0.831,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
4,60,2.123,2.498,0.002,3.5660000000000003,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
5,10,0.286,0.153,0.002,1.16,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
5,20,0.902,0.5579999999999999,0.005,3.443,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
5,30,2.337,1.144,0.006,7.295,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
5,40,6.153,1.891,0.011,14.935,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
5,60,13.615,0.991,0.016,8.713,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
6,10,0.296,0.021,0.001,0.068,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
6,20,0.308,0.2239999999999999,0.003,0.13,reconstructed from 1-decimal printed percentages (tool execution limit hit mid-run),,,,
6,30,0.3694481598222528,1.1894052672226216,0.0021160558303294,0.254166536250366,"full precision, direct from DataFrame",1.4483531928435345,77.0,,
6,40,0.8645639738571963,2.7076341680341995,0.0020816251689591,0.8018183300256495,"full precision, direct from DataFrame",0.9893777517610018,55.0,,
6,60,1.996075350638972,2.2684640208494486,0.0004137544166024,3.274709752946558,"full precision, direct from DataFrame",0.6699751503604814,17.0,,
7,10,0.2973725767333196,0.240529958751079,0.0016926661113237,1.196737604364689,"full precision, direct from DataFrame",0.6106347813302944,25.0,,
7,20,0.7525995419834461,0.7443479502611218,0.0092129392179163,3.2106852254631444,"full precision, direct from DataFrame",0.3353929202443287,25.0,,
7,30,2.030903877113751,1.287521425892688,0.0105368376668916,5.817527238641308,"full precision, direct from DataFrame",0.2110687406020938,15.0,,
7,40,5.328105079011002,1.925218470359057,0.0057001069974935,10.543484254359228,"full precision, direct from DataFrame",0.1205045863922263,13.0,,
7,60,9.47335311849156,0.8211249889988016,0.0012,5.118713564720362,"full precision, direct from DataFrame",0.2186117530061589,49.0,0.1479962377141195,"Original naive-warm-started optimization (14.8% error, 49 evals, genuine convergence per L-BFGS-B) got stuck in a bad local optimum specific to this combo. Confirmed via 3 alternative starting points (zero, LTV warm-start, random) all converging to 0.12-0.33% error, consistent with the rest of the grid. Not a target-distance scaling artifact (checked and ruled out: shift=40 has an even smaller target_distance with normal error). Corrected value uses the LTV warm-start result (10 evals, 0.12% error, the best and fastest of the three alternatives tried). Original value preserved in rel_err_ceiling_original_naive_warmstart for the record."
